iSchoolID,School Name,Sync
5850939,Battleford Central School,T
5850940,Bready School,
5850941,Cando Community School,
5850942,Connaught School,
5850944,Cut Knife Community School,
5850945,Hafford Central School,T
5850946,Hartley Clark School,
5850947,Heritage Christian School,
5850948,Hillsvale Colony School,
5850949,Kerrobert Composite School,T
5850950,Lakeview Colony School,
5850938,Lawrence School,
5850951,Leoville Central School,T
5851128,LSSD Virtual,T
5850926,Luseland School,
5850927,Macklin School,T
5850954,Maymont Central School,T
5850928,McKitrick Community School,T
5850955,McLurg High School,T
5850956,Meadow Lake Christian Academy,
5850957,Medstead Central School,
5850958,Norman Carter School,T
5850904,North Battleford Comprehensive High School,T
5850959,Scott Colony School,
5850929,Spiritwood High School,T
5850960,St. Vital Catholic School,
5850961,Unity Composite High School,T
5850962,Unity Public School,
